prediction_target_pct,max_adverse_pct,trade_count,agg_return_pct
0.02,0.02,435,0.4203389070029928
0.02,0.015,296,-0.2726073184277422
0.025,0.02,288,4.4360631497440295
0.02,0.0125,217,1.7141791509308835
0.03,0.02,195,2.5324173832177888
0.025,0.015,179,2.519327606079469
0.02,0.01,143,-0.7869186958764596
0.035,0.02,131,2.8570483738532104
0.025,0.0125,124,2.454510141132804
0.03,0.015,116,0.5191591528418193
0.04,0.02,91,2.2287129102744885
0.025,0.01,82,0.3884629201691636
0.03,0.0125,78,1.7761711543488268
0.035,0.015,70,2.7188728766496695
0.02,0.0075,68,-1.5821577641203843
0.035,0.0125,50,2.580230301645847
0.03,0.01,49,0.7106463722652556
0.04,0.015,47,2.6006725229596794
0.025,0.0075,41,-0.5629901653546932
0.04,0.0125,31,1.804616117308866
0.035,0.01,26,0.6398859253030853
0.03,0.0075,23,-1.0591903273402647
0.04,0.01,16,0.39991244353376754
0.035,0.0075,11,-0.03331759509277443
0.04,0.0075,4,-0.08092787527901324
