min_edge,min_tp_prob,trade_count,net_return_pct,win_rate
-0.02,0.0,1701,-55.84110245443471,0.3386243386243386
-0.01,0.0,962,-30.563625041801394,0.33471933471933474
-0.005,0.0,166,-7.873433609438665,0.3313253012048193
-0.02,0.1,4,-0.032045632345848556,0.5
-0.01,0.1,2,-0.0359878826248681,0.5
-0.02,0.2,0,0.0,0.0
-0.02,0.3,0,0.0,0.0
-0.02,0.4,0,0.0,0.0
-0.02,0.5,0,0.0,0.0
-0.01,0.2,0,0.0,0.0
-0.01,0.3,0,0.0,0.0
-0.01,0.4,0,0.0,0.0
-0.01,0.5,0,0.0,0.0
-0.005,0.1,0,0.0,0.0
-0.005,0.2,0,0.0,0.0
-0.005,0.3,0,0.0,0.0
-0.005,0.4,0,0.0,0.0
-0.005,0.5,0,0.0,0.0
-0.002,0.0,0,0.0,0.0
-0.002,0.1,0,0.0,0.0
-0.002,0.2,0,0.0,0.0
-0.002,0.3,0,0.0,0.0
-0.002,0.4,0,0.0,0.0
-0.002,0.5,0,0.0,0.0
-0.001,0.0,0,0.0,0.0
-0.001,0.1,0,0.0,0.0
-0.001,0.2,0,0.0,0.0
-0.001,0.3,0,0.0,0.0
-0.001,0.4,0,0.0,0.0
-0.001,0.5,0,0.0,0.0
0.0,0.0,0,0.0,0.0
0.0,0.1,0,0.0,0.0
0.0,0.2,0,0.0,0.0
0.0,0.3,0,0.0,0.0
0.0,0.4,0,0.0,0.0
0.0,0.5,0,0.0,0.0
0.0003,0.0,0,0.0,0.0
0.0003,0.1,0,0.0,0.0
0.0003,0.2,0,0.0,0.0
0.0003,0.3,0,0.0,0.0
0.0003,0.4,0,0.0,0.0
0.0003,0.5,0,0.0,0.0
